Country",population
"China",1.35E9
"India",1.21E9
"US",309E6
"Indonesia",233E6
"Brazil",195E6
"Pakistan",185E6
"Bangladesh",164E6
"Nigeria",158E6
"Russia",140E6
"Japan",127E6
"Mexico",111E6
"Philippines",93.6E6
"Vietnam",89E6
"Ethiopia",85E6
"Egypt",84.5E6
"Germany",82.1E6
"Turkey",75.7E6
"Iran",75.1E6
"Thailand",68.1E6
"Democratic Republic of the Congo",67.8E6
"France",64.8E6
"United Kingdom",61.9E6
"Italy",60.1E6
"Myanmar",50.5E6
"South Africa",50.5E6
"Korea, South",48.5E6
"Colombia",46.3E6
"Ukraine",45.4E6
"Spain",45.3E6
"Tanzania",45E6
"Sudan",43.2E6
"Kenya",40.9E6
"Argentina",40.7E6
"Poland",38E6
"Algeria",35.4E6
"Canada",33.9E6
"Uganda",33.8E6
"Morocco",32.4E6
"Iraq",31.5E6
"Nepal",29.9E6
"Peru",29.5E6
"Afghanistan",29.1E6
"Venezuela",29E6
"Malaysia",27.9E6
"Uzbekistan",27.8E6
"Saudi Arabia",26.2E6
"Ghana",24.3E6
"Yemen",24.3E6
"North Korea",24E6
"Mozambique",23.4E6
"Taiwan*",23E6
"Syria",22.5E6
"Ivory Coast",21.6E6
"Australia",21.5E6
"Romania",21.2E6
"Sri Lanka",20.4E6
"Madagascar",20.1E6
"Cameroon",20E6
"Angola",19E6
"Chile",17.1E6
"Netherlands",16.7E6
"Burkina Faso",16.3E6
"Niger",15.9E6
"Kazakhstan",15.8E6
"Malawi",15.7E6
"Cambodia",15.1E6
"Guatemala",14.4E6
"Ecuador",13.8E6
"Mali",13.3E6
"Zambia",13.3E6
"Senegal",12.9E6
"Zimbabwe",12.6E6
"Chad",11.5E6
"Cuba",11.2E6
"Greece",11.2E6
"Portugal",10.7E6
"Belgium",10.7E6
"Czech Republic",10.4E6
"Tunisia",10.4E6
"Guinea",10.3E6
"Rwanda",10.3E6
"Dominican Republic",10.2E6
"Haiti",10.2E6
"Bolivia",10E6
"Hungary",9.97E6
"Belarus",9.59E6
"Somalia",9.36E6
"Sweden",9.29E6
"Benin",9.21E6
"Azerbaijan",8.93E6
"Burundi",8.52E6
"Austria",8.39E6
"South Sudan",8.26E6
"Honduras",7.62E6
"Switzerland",7.6E6
"Bulgaria",7.5E6
"Serbia",7.34E6
"Israel",7.28E6
"Tajikistan",7.07E6
"Hong Kong",7.07E6
"Papua New Guinea",6.89E6
"Togo",6.78E6
"Libya",6.55E6
"Jordan",6.47E6
"Paraguay",6.46E6
"Laos",6.44E6
"El Salvador",6.19E6
"Sierra Leone",5.84E6
"Nicaragua",5.82E6
"Kyrgyzstan",5.55E6
"Denmark",5.48E6
"Slovakia",5.41E6
"Finland",5.35E6
"Eritrea",5.22E6
"Turkmenistan",5.18E6
"Norway",4.86E6
"Singapore",4.84E6
"United Arab Emirates",4.71E6
"Costa Rica",4.64E6
"Ireland",4.59E6
"Central African Republic",4.51E6
"Croatia",4.41E6
"West Bank",4.41E6
"New Zealand",4.3E6
"Lebanon",4.26E6
"Georgia",4.22E6
"Liberia",4.1E6
"Puerto Rico",4E6
"Bosnia and Herzegovina",3.76E6
"Republic of the Congo",3.76E6
"Moldova",3.58E6
"Panama",3.51E6
"Uruguay",3.37E6
"Mauritania",3.37E6
"Lithuania",3.26E6
"Albania",3.17E6
"Armenia",3.09E6
"Kuwait",3.05E6
"Oman",2.91E6
"Jamaica",2.73E6
"Mongolia",2.7E6
"Kosovo",2.42E6
"Latvia",2.24E6
"Namibia",2.21E6
"Lesotho",2.08E6
"North Macedonia",2.04E6
"Slovenia",2.03E6
"Botswana",1.98E6
"Gambia",1.75E6
"Guinea-Bissau",1.65E6
"Gaza Strip",1.6E6
"Qatar",1.51E6
"Gabon",1.5E6
"Trinidad and Tobago",1.34E6
"Estonia",1.34E6
"Mauritius",1.3E6
"Swaziland",1.2E6
"East Timor",1.17E6
"Djibouti",879000
"Fiji",854000
"Bahrain",807000
"RÃ©union",806000
"Cyprus",786873
"Guyana",761000
"Bhutan",708000
"Equatorial Guinea",693000
"Comoros",691000
"Montenegro",626000
"Macau",548000
"Solomon Islands",536000
"Suriname",524000
"Cape Verde",513000
"Luxembourg",492000
"Guadeloupe",467000
"Western Sahara",416758
"Malta",410000
"Brunei",407000
"Martinique",400000
"Bahamas",346000
"Iceland",329000
"Maldives",314000
"Belize",313000
"French Polynesia",272000
"Barbados",257000
"New Caledonia",254000
"Vanuatu",246000
"Mayotte",231139
"French Guiana",231000
"Guam",180000
"Samoa",179000
"Saint Lucia",174000
"SÃ£o TomÃ© and PrÃ­ncipe",165000
"Curacao",140794
"Micronesia",111000
"Saint Vincent and the Grenadines",109000
"United States Virgin Islands",109000
"Aruba",107000
"Grenada",104000
"Tonga",104000
"Kiribati",100000
"Jersey",91812
"Antigua and Barbuda",89000
"Northern Mariana Islands",88000
"Andorra",87000
"Seychelles",85000
"Isle of Man",76913
"Dominica",67000
"American Samoa",66432
"Guernsey",65632
"Bermuda",65000
"Marshall Islands",63000
"Cayman Islands",57000
"Greenland",57000
"Saint Kitts and Nevis",52000
"Faroe Islands",50000
"Sint Maarten",37429
"Liechtenstein",36000
"Monaco",33000
"Turks and Caicos Islands",33000
"San Marino",32000
"Gibraltar",28877
"British Virgin Islands",23000
"Palau",21000
"Cook Islands",20000
"Wallis and Futuna Islands",15343
"Anguilla",15000
"Nauru",10000
"Tuvalu",10000
"Saint Helena",7670
"Saint Pierre and Miquelon",7070
"Montserrat",6000
"Falkland Islands",3140
"Svalbard",2495
"Norfolk Island",2141
"Christmas Island",1462
"Tokelau",1416
"Niue",1000
"Vatican City",826
